"normalized_text";"sentiment"
"dad we've been robbed";"negative"
"wake up dad wake up there was a burglar and he took my saxophone";"negative"
"woo hoo";"positive"
"and our portable tv";"negative"
"and my necklace";"negative"
"eh thats no big loss";"neutral"
"homer that necklace was a priceless bouvier family heirloom";"negative"
"oh you've probably got a whole drawer full of em";"neutral"
"well yes i do but theyre all heirlooms too";"neutral"
"the burglar even took my stamp collection";"negative"
"you had a stamp collection";"neutral"
"stamp collection haw haw";"positive"
"barts pain is funny but mine isnt that saxophone was my one creative outlet it was the only way i could truly express myself";"negative"
"shhh quiet lisa";"neutral"
"hey the burglar left his calling card";"neutral"
"you have just been robbed by the springfield cat burglar cute";"neutral"
"hidilly ho neighboreenos";"positive"
"cant talk robbed go hell";"negative"
"you folks got robbed too the burglar took my shroud of turin beach towels";"negative"
"wow its a crime wave";"negative"
"good lord my stormin norman commemorative plates stolen again";"negative"
"hey i thought i had more stuff than this";"neutral"
"we are insured arent we mom";"neutral"
"homer tell your child what you bought when i sent you to town to get some insurance";"negative"
"curse you magic beans";"negative"
"oh stop blaming the beans";"neutral"
"hello police are you sitting down good i wish to report a robbery";"negative"
"a robbery right thanks for the report";"neutral"
"another one lou 723 evergreen terrace";"negative"
"well there doesnt seem to be any pattern yet but if i take this one and move it here and move these over here hello it almost looks like an arrow";"neutral"
"hey look chief its pointing right at this police station";"negative"
"lets get outta here";"negative"
"when cat burglaries start can mass murders be far behind this reporter isnt saying that the burglar is an inhuman monster like the wolfman but he very well could be";"negative"
"so professor would you say its time for everyone to panic";"negative"
"yes i would kent";"negative"
"ladies and gentlemen ladies and gentlemen please we have a major break in the case we recovered the burglars handkerchief from one of the crime scenes now one sniff of this baby and our tracking dog will be hot on his trail gosh look at me im sweating like a pig here";"positive"
"ahhh aw man thats better";"positive"
"alright get the scent boy come on get the scent now kill go on";"negative"
"ow my jugular any questions";"negative"
"well as you can see when the burglar trips the alarm the house raises from its foundations and runs down the street and around a corner to safety";"neutral"
"well the the real humans wont uh wont burn quite so fast there";"neutral"
"cool high-tech security system";"positive"
"alright free laserium all the colors of the bow man";"positive"
"my cataracts are gone i can see again all the beauty of nat";"positive"
"im blind oh well easy come easy go";"neutral"
"its the cat burglar please dont kill me";"negative"
"abe can i use your ointment";"neutral"
"oh its you molloy alright but this time clean off the applicator";"neutral"
"thank you for coming ill see you in hell";"negative"
"alright these are our new family security rules be home before dark and make sure youre not followed lock all doors and windows";"neutral"
"and dont take candy from strangers";"neutral"
"marge theyre only human";"neutral"
"whats the point of all these precautions ive already lost the only thing that matters to me";"negative"
"oh lisa stop pining for your saxophone i got you another instrument";"positive"
"what this jug";"neutral"
"lisa never ever stop in the middle of a hoe-down";"positive"
"aw honey i didnt realize how much that horn meant to you dont worry daddys gonna get it back i dont know how but ill figure out something";"positive"
"thank you";"positive"
"you know lisa music helps daddy think";"positive"
"welcome neighbors since the police cant seem to get off their dufferoonies to do something about this burglarino i think its time we start our own neighborhood watch arooni";"positive"
"now who should lead the group";"neutral"
"you";"neutral"
"yeah flanders flanders flanders";"positive"
"i dont really have very much experience but ill be someone else";"neutral"
"yeah someone else someone else someone else";"neutral"
"im someone else";"neutral"
"hes right";"neutral"
"we dont need a thinker we need a doer someone wholl act without considering the consequences";"neutral"
"homer homer homer";"positive"
"im with you homer";"positive"
"i be with ya too matey";"positive"
"youre the man homer";"positive"
"youre so good";"positive"
"youre the man man";"positive"
"ill join im filled with piss and vinegar at first i was just filled with vinegar";"positive"
"sorry dad youre too old";"negative"
"too old why that just means i have experience who chased the irish out of springfield village in ought four me thats who";"neutral"
"and a fine job ye did too";"positive"
"aw dad youve done a lot of great things but youre a very old man now and old people are useless arent they arent they huh yes they are yes they are";"negative"
"stop it its a form of abuse";"negative"
"i dont think the guns are a good idea homer";"negative"
"marge were responsible adults and oops";"neutral"
"and if a group of responsible adults cant handle firearms in a responsible way";"negative"
"sorry";"neutral"
"uh oh";"negative"
"me again";"neutral"
"okay weve got the secret vigilante handshake now we need code names ill be cueball skinner can be eightball barney will be twelveball and moe you can be cueball";"neutral"
"youre an idiot";"negative"
"so wedding huh";"neutral"
"no were forming a vigilante group";"neutral"
"come with me";"neutral"
"see its a miniature version of the a bomb the government built it in the fifties to drop on beatniks";"neutral"
"radiant cool crazy nightmare zen new jersey nowhere";"neutral"
"put this in your pipe and smoke it";"neutral"
"how now brown bureaucrats";"neutral"
"woo hoo woo hoo hoo hoo";"positive"
"woo hoo hoo take that maynard g krebs";"positive"
"hey see this sign";"neutral"
"okay men its time to clean up this town";"positive"
"meaning what exactly";"neutral"
"you know push people around make ourselves feel big";"negative"
"bart give me that megaphone of yours";"neutral"
"its not just a megaphone dad its a rapmaster 2000";"neutral"
"never mind the commercials just give it to me ive got to whip this neighborhood into shape";"neutral"
"move along there";"neutral"
"its hammer";"neutral"
"return to your homes and places of businesses";"neutral"
"hey you whered you get that saxophone";"neutral"
"sears";"neutral"
"get him";"negative"
"no burning leaves without a permit";"neutral"
"i got one";"neutral"
"too late";"negative"
"you better have a good reason for doing that boy";"negative"
"it makes me feel like a big man";"positive"
"let me check my reason list";"neutral"
"yep its on here";"neutral"
"hey youre that drunken posse wow can i join you";"positive"
"i dunno can you swing a sack of door knobs";"neutral"
"can i";"neutral"
"youre in heres the sack";"positive"
"but you gotta supply your own knobs";"neutral"
"so i said to him look buddy your car was upside down when we got here and as for your grandma she shouldnt have mouthed off like that";"negative"
"dad dont you see youre abusing your power like all vigilantes i mean if youre the police who will police the police";"negative"
"unno coast guard";"neutral"
"homer wasnt the whole point to catch the cat burglar";"negative"
"and i still dont have my saxophone";"negative"
"lisa the mob is working on getting your saxophone back but weve also expanded into other important areas";"positive"
"literacy programs preserving our beloved covered bridges world domination";"positive"
"world domination";"neutral"
"oh that might be a typo";"neutral"
"mental note the girl knows too much";"negative"
"mr simpson how do you respond to the charge that petty vandalism such as graffiti is down 80 percent while heavy sack beatings are up a shocking 900 percent";"negative"
"aw people can come up with statistics to prove anything kent forty percent of all people know that";"neutral"
"i see well what do you say to the accusation that your group has been causing more crimes than its been preventing";"negative"
"oh kent id be lying if i said my men werent committing crimes";"negative"
"touché";"neutral"
"well it looks like we have our first caller and i mean ever because this is not a call in show hello youre on the air";"neutral"
"hello kent hello homer my arch nemesis";"negative"
"yello";"neutral"
"uh you do realize who this is";"neutral"
"uh marge";"neutral"
"no homer im not your wife although i do enjoy her pearls as a matter of fact im holding them right now listen";"negative"
"why you monster and you have my daughters saxophone too";"negative"
"homer thats our stage manager";"neutral"
"oh sorry im a little nervous";"neutral"
"it may interest you to know that for my next crime ill be pinching the pride and joy of the springfield museum the worlds largest cubic zirconia";"negative"
"listen mr cat burglar i vow to go without sleep and guard the springfield museum day and night for as long as it takes from now on unless you want to taunt me more by giving me an approximate time";"negative"
"well be right back";"neutral"
"i get to say that";"neutral"
"son we wanna help you catch that plug ugly yegg";"positive"
"dad the best way for you to help is to set a good example just stand around and dont steal anything";"positive"
"hey";"neutral"
"were on our break";"neutral"
"any sign of the burglar yet";"neutral"
"hell show";"neutral"
"hows that";"neutral"
"its his job";"neutral"
"hes a burglar";"negative"
"well mr cat burglar youd like to get in here wouldnt you theres just one little problem thirty six years ago some lady gave birth to a man named homer j sim";"negative"
"oh my god underage kids drinking beer without a permit";"negative"
"chug chug chug chug chug";"neutral"
"asleep at the switch i wasnt asleep i was drunk";"negative"
"i believe you dad";"positive"
"well no matter what the paper says i still have a job to do";"neutral"
"go home simpson";"negative"
"you let me down man now i dont believe in nothing no more im going to law school";"negative"
"nooooo";"negative"
"dad maybe this will cheer you up";"positive"
"oh this doesnt work any more";"negative"
"i didnt say stop";"negative"
"oh my i had no idea how much this town loved that zirconia";"positive"
"let me through coming through";"neutral"
"oh grampa they pelted you too";"negative"
"no actually i fell down at the big boy";"neutral"
"son ive come to help you i know who the cat burglar is";"positive"
"what who huh what";"neutral"
"well well well before i was too old and no one wanted my help suddenly look who comes to old grampa for wait wherere you going";"positive"
"come back ill tell you";"neutral"
"he was right under my nose the whole time he lives in my retirement home his name is molloy";"neutral"
"wow howd you track him down grampa";"positive"
"good question";"neutral"
"on one of my frequent trips to the ground i noticed molloy wore sneakers";"neutral"
"for sneaking my next clue came just yesterday at the museum we felt slighted by your age bashing and started home";"negative"
"molloy said ill catch up with you";"neutral"
"i couldnt quite put my finger on it there was something strange about the way he walked much more vertical than usual and finally molloy unlike most retired people has the worlds largest cubic zirconia on his coffee table";"neutral"
"aw dad i could kiss you";"positive"
"well kiss me right here its the only part that still has feeling";"neutral"
"no wait i know where the burglar is";"neutral"
"to the retirement home";"neutral"
